MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"Real-World MPG","Car","1975","-","6.6%","57.4%","23.9%","9.0%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1976","-","0.3%","57.6%","24.4%","13.2%","3.8%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1977","-","0.3%","44.0%","36.6%","10.2%","6.5%","1.5%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1978","-","0.3%","26.8%","48.4%","13.6%","6.9%","3.6%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1979","-","0.1%","24.2%","48.5%","17.9%","8.0%","1.0%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1980","-","0.0%","5.7%","44.7%","33.0%","12.7%","2.7%","1.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1981","-","0.0%","2.6%","38.1%","33.6%","18.4%","5.1%","1.5%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1982","-","0.0%","0.3%","31.1%","31.6%","27.9%","7.0%","1.2%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1983","-","0.0%","0.3%","33.7%","29.6%","24.7%","9.5%","1.9%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1984","-","0.0%","0.1%","26.9%","33.2%","30.7%","5.5%","3.0%","0.4%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1985","-","0.0%","0.1%","27.4%","29.3%","33.5%","7.3%","1.5%","0.4%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1986","-","0.0%","0.3%","16.7%","36.4%","36.6%","7.3%","1.9%","0.3%","0.3%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1987","-","0.0%","0.3%","16.0%","40.0%","33.1%","8.6%","1.5%","0.0%","0.3%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1988","-","0.0%","0.3%","14.4%","40.5%","33.8%","8.1%","2.5%","0.0%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1989","-","0.0%","0.3%","14.5%","46.3%","30.5%","6.2%","1.8%","0.0%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1990","-","0.0%","0.2%","14.1%","50.7%","28.7%","5.2%","0.7%","0.1%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1991","-","0.0%","0.2%","16.5%","49.1%","26.8%","5.8%","0.9%","0.6%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1992","-","0.0%","0.2%","14.1%","56.0%","22.1%","5.0%","1.6%","0.8%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1993","-","0.0%","0.1%","17.4%","50.8%","24.2%","5.2%","1.5%","0.6%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1994","-","-","0.1%","18.8%","50.7%","23.5%","4.9%","1.4%","0.6%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1995","-","0.0%","0.1%","15.2%","51.7%","25.2%","7.0%","0.4%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1996","-","-","0.1%","12.9%","60.5%","20.6%","5.1%","0.4%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1997","-","-","0.1%","12.7%","59.1%","23.6%","4.1%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1998","-","-","0.1%","13.8%","57.2%","25.3%","3.2%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1999","-","-","0.0%","14.0%","62.9%","21.3%","1.5%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2000","-","0.0%","0.0%","14.2%","66.1%","17.8%","1.5%","0.2%","0.1%","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2001","-","0.0%","0.0%","16.8%","58.0%","18.3%","6.5%","0.1%","0.3%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2002","-","-","0.1%","12.8%","64.4%","16.6%","5.5%","0.2%","0.4%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2003","-","0.0%","0.1%","12.3%","60.4%","22.6%","3.9%","0.0%","0.8%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2004","-","-","0.1%","14.8%","57.0%","25.1%","2.0%","0.1%","0.3%","0.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2005","-","-","0.2%","16.0%","48.7%","27.6%","5.8%","0.1%","0.3%","1.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2006","-","-","0.3%","16.1%","52.4%","21.6%","8.1%","0.0%","0.4%","1.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2007","-","-","0.3%","13.9%","44.6%","29.1%","10.0%","-","0.4%","1.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2008","-","-","0.2%","11.5%","46.7%","29.9%","9.0%","0.3%","0.4%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2009","-","-","0.2%","6.0%","38.6%","37.1%","16.2%","0.4%","0.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2010","-","-","0.1%","4.7%","35.1%","38.3%","16.1%","1.4%","0.7%","3.6%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2011","-","-","0.1%","4.8%","39.1%","43.5%","9.4%","0.7%","0.4%","1.9%","0.0%","0.1%","0.0%","-","-","-","0.0%","-","-","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2012","-","-","0.1%","3.2%","27.4%","41.6%","22.4%","1.8%","1.0%","2.0%","0.2%","0.2%","0.0%","-","0.0%","0.0%","-","0.0%","-","0.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2013","-","-","0.1%","2.4%","22.3%","41.4%","26.8%","2.8%","1.0%","2.2%","0.1%","0.3%","0.0%","-","-","0.0%","-","0.1%","0.0%","0.0%","0.0%","-","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2014","-","-","0.0%","2.4%","24.3%","38.0%","27.9%","3.7%","1.0%","1.8%","0.1%","0.3%","0.0%","-","-","0.0%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2015","-","-","0.0%","2.0%","18.9%","40.0%","30.5%","4.7%","0.7%","2.2%","0.1%","0.1%","-","-","-","-","0.1%","0.0%","0.1%","0.0%","0.2%","-","0.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2016","-","-","0.0%","2.1%","16.2%","39.6%","35.2%","3.6%","0.7%","0.5%","0.9%","0.1%","-","0.0%","0.1%","-","0.0%","0.1%","0.1%","0.1%","0.2%","0.1%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2017","-","-","0.0%","1.8%","15.9%","37.1%","31.2%","8.3%","1.7%","0.6%","1.2%","0.1%","-","0.0%","0.8%","-","0.1%","0.1%","0.1%","0.1%","0.2%","0.1%","0.1%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2018","-","-","0.0%","1.6%","14.0%","34.6%","34.2%","9.0%","1.0%","0.8%","0.9%","0.1%","0.0%","0.3%","0.5%","0.0%","-","0.1%","0.1%","0.0%","0.3%","0.2%","0.0%","0.2%","0.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2019","-","-","0.0%","2.2%","12.9%","35.1%","34.0%","8.7%","1.5%","1.1%","1.0%","0.3%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.1%","0.1%","0.2%","0.1%","0.0%","0.1%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2020","-","-","0.0%","1.8%","11.3%","31.9%","33.7%","13.4%","1.0%","1.0%","1.3%","0.2%","0.1%","0.1%","0.4%","0.0%","0.0%","0.0%","-","0.1%","0.2%","0.3%","0.3%","-","0.0%","-","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","2021","-","-","0.1%","2.8%","11.1%","27.5%","40.0%","5.9%","0.8%","1.7%","1.5%","0.1%","0.1%","0.4%","0.3%","0.1%","0.2%","0.3%","0.5%","0.5%","0.3%","0.5%","0.3%","1.2%","1.5%","0.7%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1975","-","27.7%","51.8%","18.0%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1976","-","12.0%","66.1%","16.7%","5.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1977","-","3.7%","66.0%","19.9%","9.2%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1978","-","2.9%","68.6%","19.0%","8.6%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1979","-","14.4%","59.3%","18.4%","6.8%","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1980","-","0.2%","40.7%","37.9%","19.1%","1.5%","-","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1981","-","0.0%","22.8%","50.7%","16.1%","7.1%","2.6%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1982","-","-","21.9%","45.1%","23.7%","8.0%","0.8%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1983","-","-","21.1%","41.3%","26.7%","9.8%","0.9%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1984","-","0.1%","24.2%","43.0%","24.8%","7.1%","0.8%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1985","-","0.0%","27.8%","40.8%","26.3%","4.8%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1986","-","-","19.7%","41.4%","33.5%","5.3%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1987","-","-","17.3%","43.1%","33.4%","6.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1988","-","0.0%","17.8%","53.0%","22.1%","6.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1989","-","-","18.8%","54.3%","24.3%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1990","-","0.3%","21.8%","55.5%","18.8%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1991","-","-","16.6%","59.9%","21.4%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1992","-","-","19.2%","60.0%","20.7%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1993","-","-","14.5%","66.2%","19.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1994","-","-","23.1%","60.7%","16.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1995","-","-","24.4%","59.8%","15.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1996","-","-","22.0%","61.0%","17.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1997","-","-","19.5%","70.5%","10.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1998","-","-","23.5%","62.0%","14.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","1999","-","-","24.2%","63.7%","12.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2000","-","-","17.1%","72.0%","11.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2001","-","-","23.5%","66.6%","9.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2002","-","-","19.9%","71.3%","8.6%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2003","-","-","24.1%","61.6%","14.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2004","-","-","25.5%","63.4%","11.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2005","-","0.0%","20.9%","64.4%","14.6%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2006","-","0.0%","13.8%","69.9%","14.8%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2007","-","-","10.1%","74.4%","14.7%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2008","-","-","9.7%","70.5%","18.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2009","-","-","2.6%","66.9%","29.4%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2010","-","-","3.0%","63.3%","31.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2011","-","0.0%","3.3%","59.3%","36.8%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2012","-","0.0%","2.9%","56.2%","37.3%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2013","-","0.0%","2.2%","50.5%","36.3%","11.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2014","-","0.0%","1.7%","44.3%","38.9%","14.9%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2015","-","-","0.8%","39.6%","41.3%","18.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2016","-","-","0.6%","36.3%","44.0%","18.6%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2017","-","-","0.6%","34.6%","46.0%","16.3%","2.5%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2018","-","-","0.8%","29.5%","44.9%","19.7%","4.9%","0.0%","-","0.2%","-","-","-","-","-","-","-","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2019","-","-","0.9%","27.5%","47.3%","17.9%","5.2%","0.9%","0.1%","-","-","-","-","-","0.1%","0.0%","-","0.0%","0.0%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2020","-","-","1.3%","22.0%","49.7%","17.4%","7.2%","1.8%","0.4%","-","-","-","-","-","-","0.0%","-","0.0%","-","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Truck","2021","-","-","1.5%","23.1%","43.4%","22.4%","4.4%","4.4%","0.3%","0.0%","-","0.2%","-","-","-","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1975","-","10.7%","56.3%","22.7%","7.8%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1976","-","2.8%","59.4%","22.8%","11.5%","3.0%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1977","-","0.9%","48.4%","33.3%","10.0%","5.5%","1.2%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1978","-","0.9%","36.2%","41.7%","12.5%","5.6%","2.8%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1979","-","3.2%","31.9%","41.8%","15.5%","6.5%","0.8%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1980","-","0.0%","11.4%","43.6%","30.7%","10.8%","2.3%","1.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1981","-","0.0%","6.1%","40.2%","30.6%","16.4%","4.6%","1.3%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1982","-","0.0%","4.5%","33.9%","30.1%","24.0%","5.8%","1.1%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1983","-","0.0%","4.9%","35.3%","28.9%","21.4%","7.6%","1.5%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1984","-","0.0%","5.8%","30.7%","31.2%","25.1%","4.4%","2.3%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1985","-","0.0%","7.0%","30.7%","28.6%","26.4%","5.5%","1.1%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1986","-","0.0%","5.7%","23.6%","35.6%","27.8%","5.3%","1.4%","0.2%","0.2%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
