Vehicle Type,Cylinder Number,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears
"Sedan/Wagon","2","1975","51","0.006213","15.79033","13.46494","12.22419","15.37189","660.01046","727.00094","578.13320","2898.664","-","151.8932","128.9199","-","0.849179","0.044447","19.51174","-","-","1.000","0.505","0.495","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","0.505","-","-","-","-","-"
"Sedan/Wagon","2","1976","27","0.002817","20.42732","17.41992","15.79216","19.93078","510.16307","562.74751","445.89320","2951.740","-","156.1392","132.1044","-","0.846335","0.044737","25.79029","-","-","1.000","0.401","0.599","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","3.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","1977","16","0.001396","22.33416","19.06980","17.04762","22.30331","466.02489","521.30444","398.46099","2965.555","-","157.2444","132.9333","-","0.845595","0.044812","28.48047","-","-","1.000","0.617","0.383","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","1978","2","0.000210","20.92979","17.83697","16.31770","20.12739","498.23475","544.62327","441.53767","2854.743","-","154.1897","130.6423","10.5897","0.847641","0.045872","25.52217","-","-","1.000","0.663","0.337","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.3","-","0.337","0.663","-","-","-","-"
"Sedan/Wagon","2","1979","52","0.004814","20.40367","17.45308","15.27624","21.13386","509.19366","581.75303","420.50998","2750.000","-","140.0000","125.0000","11.4293","0.892857","0.045455","24.02040","-","-","1.000","0.901","0.099","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.5","-","0.374","0.626","-","-","-","-"
"Sedan/Wagon","2","1980","53","0.005561","19.83808","16.97643","14.77145","20.76488","523.49049","601.63356","427.98229","2750.000","-","140.0000","100.0000","13.5086","0.714286","0.036364","23.36395","-","-","1.000","0.905","0.095","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.6","-","0.272","0.728","-","-","-","-"
"Sedan/Wagon","2","1981","34","0.003917","23.70312","20.20671","18.40288","22.95697","439.80444","482.91352","387.11556","2500.000","-","140.0000","100.0000","12.6906","0.714286","0.040000","25.29563","-","-","1.000","0.914","0.086","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.086","0.914","-","-","-","-"
"Sedan/Wagon","2","1982","51","0.006514","23.68299","20.18520","18.42293","22.85756","440.27301","482.38800","388.79914","2500.000","-","140.0000","100.0000","13.5594","0.714286","0.040000","25.27752","-","-","1.000","0.896","0.104","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.104","0.896","-","-","-","-"
"Sedan/Wagon","2","1983","61","0.007591","22.68021","19.33760","17.59446","22.00177","459.57103","505.10204","403.92201","2515.903","-","140.0000","100.0000","12.4311","0.714286","0.039769","24.32894","-","-","1.000","0.922","0.078","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.078","0.922","-","-","-","-"
"Sedan/Wagon","2","1984","41","0.003869","21.97294","18.78601","16.54182","22.52023","473.06478","537.24441","394.62300","2577.156","-","144.4885","108.6304","11.8713","0.748880","0.042041","24.20047","-","-","1.000","0.914","-","0.086","-","-","0.776","-","-","0.224","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.086","0.914","-","-","-","-"
"Sedan/Wagon","2","1985","59","0.005454","22.08333","18.88037","16.62203","22.63987","470.70046","534.65184","392.53766","2567.594","-","142.9126","105.9514","11.9239","0.739242","0.041207","24.23519","-","-","1.000","0.872","-","0.128","-","-","0.854","-","0.146","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.128","0.872","-","-","-","-"
"Sedan/Wagon","2","1986","51","0.004623","22.98694","19.61968","17.04833","23.92144","452.96362","521.28283","371.50773","2925.075","-","160.0000","146.0000","9.8157","0.912500","0.049993","28.68785","-","-","1.000","0.824","-","0.176","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.176","0.824","-","-","-","-"
"Sedan/Wagon","2","1987","51","0.004758","22.82042","19.42223","16.84758","23.62106","457.56843","527.49427","376.23198","3000.000","-","160.0000","152.4439","9.8391","0.952774","0.050815","29.13702","-","-","1.000","0.855","-","0.145","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.145","0.855","-","-","-","-"
"Sedan/Wagon","2","1988","39","0.003648","22.61751","19.20213","16.57577","23.41263","462.81324","536.14400","379.58150","3111.283","-","160.0000","150.0645","10.2494","0.937903","0.048474","29.85592","-","-","1.000","0.862","-","0.138","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.138","0.862","-","-","-","-"
"Sedan/Wagon","2","1989","9","0.000869","22.86686","19.37129","16.60093","23.76461","458.77163","535.33135","373.95947","3140.822","-","160.0000","163.3954","9.4991","1.021221","0.052319","30.39777","-","-","1.000","0.741","-","0.259","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.7","-","0.259","0.741","-","-","-","-"
"Sedan/Wagon","2","1990","11","0.001199","22.86602","19.31839","16.50684","23.67878","460.02806","538.38279","375.31493","3168.608","-","160.0000","162.2159","9.0031","1.013849","0.051503","30.57938","-","-","1.000","0.728","-","0.272","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.7","-","0.272","0.728","-","-","-","-"
"Sedan/Wagon","2","1991","8","0.000915","22.80006","19.21252","16.37721","23.50677","462.56303","542.64444","378.06130","3202.564","-","160.0000","161.0410","9.1656","1.006506","0.050594","30.73531","-","-","1.000","0.747","-","0.253","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.7","-","0.253","0.747","-","-","-","-"
"Sedan/Wagon","2","1992","0","0.000000","22.69000","19.15535","15.87024","24.35296","463.94338","559.97890","364.92482","3500.000","-","160.0000","160.0000","9.2520","1.000000","0.045714","33.52187","-","-","1.000","1.000","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","5.0","-","-","1.000","-","-","-","-"
"Sedan/Wagon","2","1993","10","0.001187","23.49059","19.68269","16.66428","24.06533","451.51357","533.29629","369.28648","3000.000","-","160.0000","255.0000","5.9998","1.593750","0.085000","29.52403","-","-","1.000","0.848","-","0.152","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","1.000","-","-","-","-","4.8","-","0.152","0.848","-","-","-","-"
"Sedan/Wagon","2","1994","3","0.000406","23.47719","19.62313","16.56119","23.97362","452.88389","536.61606","370.69914","3000.000","-","160.0000","255.0000","5.9424","1.593750","0.085000","29.43471","-","-","1.000","0.880","-","0.120","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","1.000","-","-","-","-","4.9","-","0.120","0.880","-","-","-","-"
"Sedan/Wagon","2","1995","1","0.000053","22.93355","19.13791","16.04836","23.46784","464.36632","553.76392","378.68853","3000.000","-","160.0000","255.0000","6.4349","1.593750","0.085000","28.70763","-","-","1.000","0.876","-","0.124","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.124","0.876","-","-","-","-"
"Sedan/Wagon","2","1996","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","1997","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","1998","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","1999","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2001","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2002","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2004","35","0.004663","23.82037","19.11135","16.32264","22.01582","465.01161","544.45848","403.66434","3500.000","-","160.0000","223.5922","7.3780","1.397451","0.063883","33.44487","-","-","1.000","0.649","-","0.351","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","5.3","-","0.351","-","0.649","-","-","-"
"Sedan/Wagon","2","2005","18","0.002194","23.80434","19.04536","16.19208","21.96529","466.62283","548.84854","404.59290","3500.000","-","80.0000","220.1801","7.8546","2.752251","0.062909","33.32939","-","-","1.000","0.565","-","0.435","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","5.1","-","0.435","-","0.565","-","-","-"
"Sedan/Wagon","2","2006","6","0.000803","24.01856","19.23394","16.28197","22.28143","462.04774","545.81836","398.85235","3500.000","-","79.0000","226.7529","7.5360","2.870290","0.064787","33.66339","-","-","1.000","0.567","-","0.433","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","6.0","-","-","-","1.000","-","-","-"
"Sedan/Wagon","2","2007","6","0.000709","24.03340","19.25600","16.27051","22.34972","461.51848","546.20304","397.63364","3500.000","-","79.0000","225.3314","7.6550","2.852296","0.064380","33.70202","-","-","1.000","0.513","-","0.487","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","6.0","-","-","-","1.000","-","-","-"
"Sedan/Wagon","2","2008","2","0.000288","24.02765","19.24358","16.28255","22.30332","461.81634","545.79915","398.46089","3500.000","43.66600","79.0000","226.2963","7.6657","2.864510","0.064656","33.68038","-","-","1.000","0.550","-","0.450","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","6.0","-","-","-","1.000","-","-","-"
"Sedan/Wagon","2","2009","3","0.000532","24.02549","19.23232","16.30010","22.25208","462.08662","545.21152","399.37837","3500.000","43.67000","79.0000","224.2267","7.5030","2.838312","0.064065","33.66128","-","-","1.000","0.611","-","0.389","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","6.0","-","-","-","1.000","-","-","-"
"Sedan/Wagon","2","2010","1","0.000201","24.03133","19.23997","16.29760","22.27357","461.90296","545.29516","398.99305","3500.000","43.67000","79.0000","223.8981","7.6001","2.834153","0.063971","33.67473","-","-","1.000","0.595","-","0.405","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","6.0","-","-","-","1.000","-","-","-"
"Sedan/Wagon","2","2011","1","0.000134","24.03729","19.24716","16.34090","22.22970","461.73047","543.85019","399.78050","3500.000","43.60000","79.0000","223.5625","7.6146","2.829905","0.063875","33.68696","-","-","1.000","0.578","-","0.422","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","6.0","-","-","-","1.000","-","-","-"
"Sedan/Wagon","2","2012","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2013","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","2014","6","0.000768","131.04909","81.37197","119.00000","65.70000","50.90000","11.00000","81.00000","3500.000","43.30000","-","170.0000","6.8000","4.643005","0.048571","142.40094","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","2015","7","0.000846","131.04909","81.37197","119.00000","65.70000","50.90000","11.00000","81.00000","3500.000","43.30000","-","170.0000","7.9000","4.643005","0.048571","142.40094","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","2016","4","0.000526","131.04909","81.37197","119.00000","65.70000","50.90000","11.00000","81.00000","3500.000","43.30000","-","38.0000","7.1000","1.037848","0.010857","142.40094","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","2017","7","0.001005","129.72116","81.06547","109.80000","67.70000","40.63000","7.00000","66.00000","3500.000","43.30000","-","38.0000","7.1000","1.037848","0.010857","141.86456","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","2018","4","0.000599","128.39280","79.83870","108.54890","66.55840","41.40000","7.20000","67.20000","3500.000","43.47701","-","38.0000","7.0494","1.037848","0.010857","139.71772","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","2019","3","0.000611","128.12660","80.71420","105.88850","68.43960","31.88700","3.90000","53.00000","3500.000","43.48726","-","171.4777","6.5198","4.683363","0.048994","141.24985","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","2020","1","0.000232","128.12660","80.71420","105.88850","68.43960","31.88700","3.90000","53.00000","3500.000","43.47039","-","171.1643","6.6730","4.674804","0.048904","141.24985","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","Prelim. 2021","-","0.000214","128.39250","80.71820","105.92080","68.43440","31.83000","3.90000","52.90000","3500.000","43.30000","-","173.6522","7.8261","4.742752","0.049615","141.25685","-","-","1.000","-","1.000","-","-","-","-","-","1.000","-","-","-","-","1.000","-","-","-","-","-","-","-","1.000","-","1.0","-","1.000","-","-","-","-","-"
"Pickup","2","1975","3","0.002130","15.49160","13.24775","11.66944","15.87140","670.83102","761.56175","559.93791","3000.000","-","80.0000","135.0000","-","1.687500","0.045000","19.88764","-","-","1.000","0.682","0.318","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1976","4","0.002026","16.43861","14.05018","12.40082","16.77754","632.51862","716.64588","529.69641","3000.000","-","80.0000","135.0000","-","1.687500","0.045000","21.12925","-","-","1.000","0.811","0.189","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1977","3","0.001253","19.34093","16.51685","14.72327","19.40626","538.05658","603.60244","457.94497","3000.000","-","80.0000","135.0000","-","1.687500","0.045000","24.81982","-","-","1.000","0.851","0.149","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1978","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1979","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1980","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1981","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1982","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1983","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1984","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1985","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1986","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1987","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1988","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1989","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1991","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1992","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1993","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1994","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1995","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1996","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1997","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1998","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","1999","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2001","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2002","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2004","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2008","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2009","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2010","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2011","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2012","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2013","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2015","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2016","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2017","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2018","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2019","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","2020","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pickup","2","Prelim. 2021","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","3","1975","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
